交易序號,狀態,多/空,進場價,進場量,當前均價,當前持倉量,出場價,出場量,實現損益,剩餘倉位
1,開倉,-1.0,16545.7,-0.18131599146606064,16545.7,-0.18131599146606064,,,,
2,平倉,,,,,,17372.985,-0.18131599146606064,-149.99999999999994,0.0
3,開倉,1.0,17378.7560072,0.1700351854169393,17378.7560072,0.1700351854169393,,,,
4,平倉,,,,,,19116.631607920004,0.1700351854169393,295.5000000000004,0.0
5,開倉,1.0,19118.85186145,0.15919627507219805,19118.85186145,0.15919627507219805,,,,
6,平倉,,,,,,21030.737047595,0.15919627507219805,304.36500000000035,0.0
7,開倉,1.0,21118.56647879,0.14844565814391486,21118.56647879,0.14844565814391486,,,,
8,平倉,,,,,,23230.423126669,0.14844565814391486,313.4959500000003,0.0
9,開倉,1.0,23249.68837049,0.13888393829391993,23249.68837049,0.13888393829391993,,,,
10,平倉,,,,,,22087.203951965497,0.13888393829391993,-161.4504142500003,0.0
11,開倉,-1.0,21994.54536816,-0.14460736093819418,21994.54536816,-0.14460736093819418,,,,
12,平倉,,,,,,23094.272636568003,-0.14460736093819418,-159.02865803625025,0.0
13,開倉,1.0,23161.85511652,0.13525965634245052,23161.85511652,0.13525965634245052,,,,
14,平倉,,,,,,22003.762360694,0.13525965634245052,-156.64322816570635,0.0
15,開倉,-1.0,21967.46600391,-0.14047462708330388,21967.46600391,-0.14047462708330388,,,,
16,平倉,,,,,,19770.719403519,-0.14047462708330388,308.58715948644146,0.0
17,開倉,-1.0,19677.7578971,-0.16152489319826258,19677.7578971,-0.16152489319826258,,,,
18,平倉,,,,,,20661.645791955,-0.16152489319826258,-158.92238713551743,0.0
19,開倉,1.0,20740.18075478,0.15095196438189862,20740.18075478,0.15095196438189862,,,,
20,平倉,,,,,,22814.198830258003,0.15095196438189862,313.07710265696915,0.0
21,開倉,1.0,22902.4297236,0.14080139951456191,22902.4297236,0.14080139951456191,,,,
22,平倉,,,,,,25192.672695960002,0.14080139951456191,322.4694157366786,0.0
23,開倉,1.0,25450.78184368,0.13050424157843982,25450.78184368,0.13050424157843982,,,,
24,平倉,,,,,,24178.242751496,0.13050424157843982,-166.07174910438934,0.0
25,開倉,-1.0,23979.48466452,-0.1364338518165547,23979.48466452,-0.1364338518165547,,,,
26,平倉,,,,,,25178.458897746,-0.1364338518165547,-163.5806728678233,0.0
27,開倉,1.0,25361.2,0.12706572463038504,25361.2,0.12706572463038504,,,,
28,平倉,,,,,,27897.320000000003,0.12706572463038504,322.25392554961246,0.0
29,開倉,1.0,27930.99313155,0.11883628403501773,27930.99313155,0.11883628403501773,,,,
30,平倉,,,,,,30724.092444705002,0.11883628403501773,331.9215433161008,0.0
31,開倉,1.0,30764.97931462,0.11112609116987676,30764.97931462,0.11112609116987676,,,,
32,平倉,,,,,,29226.730348889,0.11112609116987676,-170.9395948077917,0.0
33,開倉,-1.0,29196.0,-0.11534148574165973,29196.0,-0.11534148574165973,,,,
34,平倉,,,,,,26276.4,-0.11534148574165973,336.7510017713496,0.0
35,開倉,-1.0,26242.4,-0.13217294600512539,26242.4,-0.13217294600512539,,,,
36,平倉,,,,,,27554.520000000004,-0.13217294600512539,-173.42676591224546,0.0
37,開倉,1.0,27575.5,0.12389647652703409,27575.5,0.12389647652703409,,,,
38,平倉,,,,,,26196.725,0.12389647652703409,-170.8253644235616,0.0
39,開倉,-1.0,26102.7,-0.12892381551119847,26102.7,-0.12892381551119847,,,,
40,平倉,,,,,,27407.835000000003,-0.12892381551119847,-168.2629839572083,0.0
41,開倉,1.0,27677.58305451,0.1197640985279913,27677.58305451,0.1197640985279913,,,,
42,平倉,,,,,,26293.703901784498,0.1197640985279913,-165.7390391978501,0.0
