交易序號,時間,狀態,多/空,進場價,進場量,當前均價,當前持倉量,出場價,出場量,實現損益,剩餘倉位
1,2023-01-01 05:54,開倉,-1.0,16537.427150000003,-0.18131599146606064,16537.427150000003,-0.18131599146606064,,,,
2,2023-01-10 02:14,平倉,,,,,,17364.298507500003,-0.18131599146606064,-152.77357500000002,0.0
3,2023-01-10 02:14,開倉,1.0,17387.445385203602,0.16998730670228016,17387.445385203602,0.16998730670228016,,,,
4,2023-01-13 23:09,平倉,,,,,,19126.189923723963,0.16998730670228016,292.31329163376506,0.0
5,2023-01-13 23:09,開倉,1.0,19128.411287380724,0.1591027503656504,19128.411287380724,0.1591027503656504,,,,
6,2023-01-14 08:44,平倉,,,,,,21041.252416118798,0.1591027503656504,300.99056346422026,0.0
7,2023-01-14 08:44,開倉,1.0,21129.12576202939,0.14831305369022635,21129.12576202939,0.14831305369022635,,,,
8,2023-01-21 18:04,平倉,,,,,,23242.038338232334,0.14831305369022635,309.9254186772131,0.0
9,2023-01-21 18:04,開倉,1.0,23261.313214675243,0.13871741669131835,23261.313214675243,0.13871741669131835,,,,
10,2023-02-10 03:34,平倉,,,,,,22098.247553941477,0.13871741669131835,-164.40287571345732,0.0
11,2023-02-10 03:34,開倉,-1.0,21983.548095475922,-0.14439106577378652,21983.548095475922,-0.14439106577378652,,,,
12,2023-02-16 03:14,平倉,,,,,,23082.72550024972,-0.14439106577378652,-161.7269134917985,0.0
13,2023-02-16 03:14,開倉,1.0,23173.43604407826,0.13501931331227712,23173.43604407826,0.13501931331227712,,,,
14,2023-03-07 23:09,平倉,,,,,,22014.764241874345,0.13501931331227712,-159.41548943854048,0.0
15,2023-03-07 23:09,開倉,-1.0,21956.482270908047,-0.140183356855602,21956.482270908047,-0.140183356855602,,,,
16,2023-03-10 18:44,平倉,,,,,,19760.83404381724,-0.140183356855602,304.40761221921616,0.0
17,2023-03-10 18:44,開倉,-1.0,19667.91901815145,-0.1611360108344701,19667.91901815145,-0.1611360108344701,,,,
18,2023-03-13 01:49,平倉,,,,,,20651.314969059025,-0.1611360108344701,-161.47125011141745,0.0
19,2023-03-13 01:49,開倉,1.0,20750.55084515739,0.15054613417253604,20750.55084515739,0.15054613417253604,,,,
20,2023-03-13 22:09,平倉,,,,,,22825.60592967313,0.15054613417253604,308.95521443605134,0.0
21,2023-03-13 22:09,開倉,1.0,22913.880938461796,0.14037989147018803,22913.880938461796,0.14037989147018803,,,,
22,2023-03-14 20:44,平倉,,,,,,25205.26903230798,0.14037989147018803,318.1264989989761,0.0
23,2023-03-14 20:44,開倉,1.0,25463.50723460184,0.13007374661554197,25463.50723460184,0.13007374661554197,,,,
24,2023-03-16 00:44,平倉,,,,,,24190.331872871746,0.13007374661554197,-168.75321649740889,0.0
25,2023-03-16 01:04,開倉,-1.0,23967.494922187743,-0.13594339617215867,23967.494922187743,-0.13594339617215867,,,,
26,2023-03-17 09:29,平倉,,,,,,25165.869668297128,-0.13594339617215867,-166.00644439764622,0.0
27,2023-03-17 09:29,開倉,1.0,25373.8806,0.126573295050461,25373.8806,0.126573295050461,,,,
28,2023-03-20 00:44,平倉,,,,,,27911.26866,0.126573295050461,317.63274633256214,0.0
29,2023-03-20 00:44,開倉,1.0,27944.95862811577,0.11833952551439741,27944.95862811577,0.11833952551439741,,,,
30,2023-04-14 08:39,平倉,,,,,,30739.454490927354,0.11833952551439741,327.0616219980414,0.0
31,2023-04-14 08:39,開倉,1.0,30780.36180427731,0.11062770191155488,30780.36180427731,0.11062770191155488,,,,
32,2023-04-18 09:14,平倉,,,,,,29241.34371406344,0.11062770191155488,-173.49293717656292,0.0
33,2023-04-18 09:14,開倉,-1.0,29181.402000000002,-0.11479007671530223,29181.402000000002,-0.11479007671530223,,,,
34,2023-05-12 13:54,平倉,,,,,,26263.261800000004,-0.11479007671530223,331.28882851234306,0.0
35,2023-05-12 13:54,開倉,-1.0,26229.278800000004,-0.13149703260119755,26229.278800000004,-0.13149703260119755,,,,
36,2023-05-16 01:09,平倉,,,,,,27540.742740000005,-0.13149703260119755,-175.7302351864712,0.0
37,2023-05-16 01:09,開倉,1.0,27589.28775,0.12322817928152621,27589.28775,0.12322817928152621,,,,
38,2023-05-24 23:09,平倉,,,,,,26209.823362499996,0.12322817928152621,-173.2186736675825,0.0
