時間,狀態,多/空,進場價,進場量,當前均價,當前持倉量,出場價,出場量,實現損益,剩餘倉位
2023-01-01 12:24,開倉,-1,16506.467796950235,-0.6055202192831766449489670480,16506.46779695023500000000000,-0.6055202192831766449489670480,,,,
2023-01-01 12:29,開倉,-1,16506.14280,-0.6049269122705033183161362205,16506.30537812459769843297372,-1.210447131553679963265103268,,,,
2023-01-01 13:19,平倉,,,,,,16521.35655,-1.210447131553679963265103268,-38.21687646842523983136693988,0E-27
2023-01-01 14:19,開倉,1,16553.37255,0.6008910863962185033737259406,16553.37255000000000000000000,0.6008910863962185033737259406,,,,
2023-01-01 15:09,平倉,,,,,,16519.73600,0.6008910863962185033737259406,-30.13846518413944457370456316,0E-28
2023-01-01 15:14,開倉,-1,16514.63855,-0.5992723961492743086139466910,16514.63855000000000000000000,-0.5992723961492743086139466910,,,,
2023-01-01 15:19,開倉,-1,16492.205749691160,-0.5994877426842029828422456856,16503.42013491963328120902413,-1.198760138833477291456192377,,,,
2023-01-01 15:24,開倉,-1,16491.75000,-0.5989051049771321824043922335,16499.53214553829292823178021,-1.797665243810609473860584610,,,,
2023-01-01 16:14,平倉,,,,,,16518.65520,-1.797665243810609473860584610,-64.07186268883959848140335300,0E-27
2023-01-01 17:04,開倉,-1,16494.04885,-0.5943405086666000976543815628,16494.04885000000000000000000,-0.5943405086666000976543815628,,,,
2023-01-01 17:09,開倉,-1,16491.75000,-0.5938292299869911540089560439,16492.89991960651722661493754,-1.188169738653591251663337607,,,,
2023-01-01 17:59,平倉,,,,,,16541.614558092075,-1.188169738653591251663337607,-77.53550512438605902507797496,0E-27
2023-01-01 17:59,開倉,1,16541.614558092075,0.5873494935509594819293240262,16541.61455809207500000000000,0.5873494935509594819293240262,,,,
2023-01-01 18:14,開倉,1,16545.16845,0.5866358143015994208148323204,16543.39042382003629298623927,1.173985307852558902744156347,,,,
2023-01-01 18:19,開倉,1,16545.530048628960,0.5860360772102163225734534414,16544.10285682816055777581278,1.760021385062775225317609788,,,,
2023-01-01 18:24,開倉,1,16547.697546256170,0.5853730630694291277390392852,16545.00003400146414641439203,2.345394448132204353056649073,,,,
2023-01-01 18:29,開倉,1,16546.16895,0.5848414221414590639984448311,16545.23333620825331045971512,2.930235870273663417055093904,,,,
2023-01-01 18:59,開倉,1,16551.07140,0.5840832307864161449106229684,16546.20362805226713801349743,3.514319101060079561965716872,,,,
2023-01-01 19:04,開倉,1,16550.159793594585,0.5835309954631672595537573087,16546.76698326603751726527207,4.097850096523246821519474181,,,,
2023-01-01 19:09,開倉,1,16552.34478257310,0.5828702208767011408739091439,16547.46156292336670439660730,4.680720317399947962393383325,,,,
2023-01-01 19:14,開倉,1,16551.594537407985,0.5823134529346188482360624121,16547.91884416989683360373165,5.263033770334566810629445737,,,,
2023-01-01 19:59,開倉,1,16558.07490,0.5815031753103788626856909577,16548.92932263359020891898787,5.844536945644945673315136695,,,,
2023-01-01 20:04,開倉,1,16563.38032898880,0.5807353060126453501939702585,16550.23544777026724535919616,6.425272251657591023509106954,,,,
2023-01-01 20:54,平倉,,,,,,16544.52360,6.425272251657591023509106954,-143.0032453879645680896244376,0E-27
2023-01-01 21:39,開倉,-1,16524.736822757790,-0.5722802026243667876338010258,16524.73682275779000000000000,-0.5722802026243667876338010258,,,,
2023-01-01 22:29,平倉,,,,,,16557.47460,-0.5722802026243667876338010258,-28.21069671267912896473986987,0E-28
2023-01-01 22:59,開倉,-1,16525.832094218105,-0.5699641047318845373418810523,16525.83209421810500000000000,-0.5699641047318845373418810523,,,,
2023-01-01 23:24,開倉,-1,16522.105709062745,-0.5695228464638162460523204373,16523.96962314858184380081202,-1.139486951195700783394201490,,,,
2023-01-01 23:59,平倉,,,,,,16569.657238275,-1.139486951195700783394201490,-70.94134947660456158173608176,0E-27
2023-01-01 23:59,開倉,1,16561.37655,0.5681723766708927068665287517,16561.37655,0.5681723766708927068665287517,,,,
2023-01-02 00:04,開倉,1,16565.278905732765,0.5631855332324917027924850764,16563.31912738862479927253312,1.131357909903384409659013828,,,,
2023-01-02 00:09,開倉,1,16570.558148184840,0.5624428193805041341472637269,16565.72291385286770840933162,1.693800729283888543806277555,,,,
2023-01-02 00:19,開倉,1,16574.662289610030,0.5617409651821891626312785144,16567.94925867206348206827215,2.255541694466077706437556069,,,,
